Product Name,Unit,Category,Purchase Rate,Sales Rate,Min Stock,Stock
TEST Basmati Rice (1 kg),Kg,Grocery,180,220,10,40
TEST Olive Oil (500 ml),ml,Grocery,950,1200,5,15
TEST Loose Black Tea (250 g),g,Beverages,420,520,8,25
TEST Honey Jar (500 g),g,Grocery,650,820,5,20
TEST Salted Cashews (200 g),g,Snacks,520,680,5,18
TEST Whole Wheat Flour (5 kg),Kg,Grocery,720,880,4,12
TEST Cold Pressed Sesame Oil (1 L),L,Grocery,1200,1450,3,10
TEST Premium Saffron Strands (1 g),g,Spices,2800,3500,2,8
TEST Pink Himalayan Salt (1 kg),Kg,Spices,180,240,10,30
TEST Roasted Pistachios (250 g),g,Snacks,1200,1500,4,15
